  PID TTY           TIME CMD
  250 ??         0:00.03 /System/Library/CoreServices/AppleIDAuthAgent
  251 ??         0:03.12 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  261 ??         0:00.29 /usr/sbin/filecoordinationd
  263 ??         0:01.50 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper
  265 ??         0:21.33 /Applications/Jumpcut.app/Contents/MacOS/Jumpcut
  266 ??         3:24.11 /Applications/Dropbox.app/Contents/MacOS/Dropbox
  268 ??         0:00.20 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  270 ??         0:06.78 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  272 ??         0:12.57 com.apple.IconServicesAgent
  273 ??         0:00.06 com.apple.imdpersistence.IMDPersistenceAgent
  276 ??         0:02.78 com.apple.ShareKitHelper
  277 ??         0:00.33 /usr/libexec/secd
  278 ??         0:03.71 /System/Library/Frameworks/GameKit.framework/Versions/A/Resources/gamed
  281 ??         0:00.02 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  282 ??         0:09.91 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeagent
  290 ??         1:02.52 /Applications/Snapz Pro X.app/Contents/MacOS/Snapz Pro X
  293 ??         0:00.29 com.ambrosiasw.registration-helper
  294 ??         0:00.31 /System/Library/CoreServices/ScopedBookmarkAgent
  301 ??         0:02.85 com.apple.dock.extra
  306 ??         0:14.28 /System/Library/CoreServices/pbs
  335 ??         0:05.56 /Library/DropboxHelperTools/Dropbox_u501/dbfseventsd
  336 ??         0:23.83 /Library/DropboxHelperTools/Dropbox_u501/dbfseventsd
  340 ??         0:17.83 /Library/DropboxHelperTools/Dropbox_u501/dbfseventsd
  341 ??         0:03.82 /System/Library/Image Capture/Support/Image Capture Extension.app/Contents/MacOS/Image Capture Extension
  344 ??         0:36.94 /Library/Image Capture/Support/LegacyDeviceDiscoveryHelpers/CIJScannerRegister.app/Contents/MacOS/CIJScannerRegister
